Country,Canada,Ecuador,India,Nigeria,South Africa
Original price - chicken,6.03,1.76,90.38,708.33,21.99
Original price - soap,1.13,1.01,20.45,117.08,3.12
Original price - water,1.9,0.27,10,137.5,8.99
Original price - black tea,1.89,0.65,10.75,99.55,12.18
Original price - shoes,127.07,48.29,1567.73,19130.43,1615.38
Tariff - chicken,0.48,0.79,27.12,141.67,0
Tariff - soap,0.04,0.2,2.05,23.42,0.62
Tariff - water,0.21,0.08,3,27.5,0
Tariff - black tea,0,0.19,10.75,9.95,0
Tariff - shoes,22.87,14.49,156.77,2869.57,484.62
